id,pokemon,type_1,type_2,height_m,weight_kg,description,ability,img_url
1,Bulbasaur,grass,poison,0.7,6.9,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Overgrow,https://img.pokemondb.net/sprites/home/normal/2x/avif/bulbasaur.avif
2,Ivysaur,grass,poison,1.0,13.0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Overgrow,https://img.pokemondb.net/sprites/home/normal/2x/avif/ivysaur.avif
3,Venusaur,grass,poison,2.0,100.0,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Overgrow,https://img.pokemondb.net/sprites/home/normal/2x/avif/venusaur.avif
4,Charmander,fire,,0.6,8.5,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",Blaze,https://img.pokemondb.net/sprites/home/normal/2x/avif/charmander.avif
5,Charmeleon,fire,,1.1,19.0,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",Blaze,https://img.pokemondb.net/sprites/home/normal/2x/avif/charmeleon.avif
6,Charizard,fire,flying,1.7,90.5,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,Blaze,https://img.pokemondb.net/sprites/home/normal/2x/avif/charizard.avif
7,Squirtle,water,,0.5,9.0,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",Torrent,https://img.pokemondb.net/sprites/home/normal/2x/avif/squirtle.avif
8,Wartortle,water,,1.0,22.5,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",Torrent,https://img.pokemondb.net/sprites/home/normal/2x/avif/wartortle.avif
9,Blastoise,water,,1.6,85.5,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Torrent,https://img.pokemondb.net/sprites/home/normal/2x/avif/blastoise.avif
10,Caterpie,bug,,0.3,2.9,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Shield Dust,https://img.pokemondb.net/sprites/home/normal/2x/avif/caterpie.avif
11,Metapod,bug,,0.7,9.9,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",Shed Skin,https://img.pokemondb.net/sprites/home/normal/2x/avif/metapod.avif
12,Butterfree,bug,flying,1.1,32.0,It loves the nectar of flowers and can locate flower patches that have even tiny amounts of pollen.,Compound Eyes,https://img.pokemondb.net/sprites/home/normal/2x/avif/butterfree.avif
13,Weedle,bug,poison,0.3,3.2,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Shield Dust,https://img.pokemondb.net/sprites/home/normal/2x/avif/weedle.avif
14,Kakuna,bug,poison,0.6,10.0,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Shed Skin,https://img.pokemondb.net/sprites/home/normal/2x/avif/kakuna.avif
15,Beedrill,bug,poison,1.0,29.5,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Swarm,https://img.pokemondb.net/sprites/home/normal/2x/avif/beedrill.avif
16,Pidgey,normal,flying,0.3,1.8,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/pidgey.avif
17,Pidgeotto,normal,flying,1.1,30.0,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/pidgeotto.avif
18,Pidgeot,normal,flying,1.5,39.5,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/pidgeot.avif
19,Rattata,normal,,0.3,3.5,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/rattata.avif
20,Raticate,normal,,0.7,18.5,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Run Away,https://img.pokemondb.net/sprites/home/normal/2x/avif/raticate.avif
21,Spearow,normal,flying,0.3,2.0,"Inept at flying high. However, it can fly around very fast to protect its territory.",Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/spearow.avif
22,Fearow,normal,flying,1.2,38.0,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Keen Eye,https://img.pokemondb.net/sprites/home/normal/2x/avif/fearow.avif
23,Ekans,poison,,2.0,6.9,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Shed Skin,https://img.pokemondb.net/sprites/home/normal/2x/avif/ekans.avif
24,Arbok,poison,,3.5,65.0,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Shed Skin,https://img.pokemondb.net/sprites/home/normal/2x/avif/arbok.avif
25,Pikachu,electric,,0.4,6.0,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",Static,https://img.pokemondb.net/sprites/home/normal/2x/avif/pikachu.avif
26,Raichu,electric,,0.8,30.0,"Its tail discharges electricity into the ground, protecting it from getting shocked.",Static,https://img.pokemondb.net/sprites/home/normal/2x/avif/raichu.avif
27,Sandshrew,ground,,0.6,12.0,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",Sand Veil,https://img.pokemondb.net/sprites/home/normal/2x/avif/sandshrew.avif
28,Sandslash,ground,,1.0,29.5,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",Sand Veil,https://img.pokemondb.net/sprites/home/normal/2x/avif/sandslash.avif
29,Nidoran♀,poison,,,,,,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidoran-f.avif
30,Nidorina,poison,,0.8,20.0,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,Poison Point,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidorina.avif
31,Nidoqueen,poison,ground,1.3,60.0,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",Poison Point,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidoqueen.avif
32,Nidoran♂,poison,,,,,,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidoran-m.avif
33,Nidorino,poison,,0.9,19.5,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",Poison Point,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidorino.avif
34,Nidoking,poison,ground,1.4,62.0,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",Poison Point,https://img.pokemondb.net/sprites/home/normal/2x/avif/nidoking.avif
35,Clefairy,fairy,,0.6,7.5,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,Cute Charm,https://img.pokemondb.net/sprites/home/normal/2x/avif/clefairy.avif
36,Clefable,fairy,,1.3,40.0,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",Cute Charm,https://img.pokemondb.net/sprites/home/normal/2x/avif/clefable.avif
37,Vulpix,fire,,0.6,9.9,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",Flash Fire,https://img.pokemondb.net/sprites/home/normal/2x/avif/vulpix.avif
38,Ninetales,fire,,1.1,19.9,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",Flash Fire,https://img.pokemondb.net/sprites/home/normal/2x/avif/ninetales.avif
39,Jigglypuff,normal,fairy,0.5,5.5,"When its huge eyes waver, it sings a mysteriously soothing melody that lulls its enemies to sleep.",Cute Charm,https://img.pokemondb.net/sprites/home/normal/2x/avif/jigglypuff.avif
40,Wigglytuff,normal,fairy,1.0,12.0,"It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam.",Cute Charm,https://img.pokemondb.net/sprites/home/normal/2x/avif/wigglytuff.avif
41,Zubat,poison,flying,0.8,7.5,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",Inner Focus,https://img.pokemondb.net/sprites/home/normal/2x/avif/zubat.avif
42,Golbat,poison,flying,1.6,55.0,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",Inner Focus,https://img.pokemondb.net/sprites/home/normal/2x/avif/golbat.avif
43,Oddish,grass,poison,0.5,5.4,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/oddish.avif
44,Gloom,grass,poison,0.8,8.6,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/gloom.avif
45,Vileplume,grass,poison,1.2,18.6,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",Chlorophyll,https://img.pokemondb.net/sprites/home/normal/2x/avif/vileplume.avif
46,Paras,bug,grass,0.3,5.4,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,Effect Spore,https://img.pokemondb.net/sprites/home/normal/2x/avif/paras.avif
47,Parasect,bug,grass,1.0,29.5,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,Effect Spore,https://img.pokemondb.net/sprites/home/normal/2x/avif/parasect.avif
